ck_in_dt,rooms_sold
2012-07-02,4
2012-07-03,12
2012-07-04,12
2012-07-05,21
2012-07-06,43
2012-07-07,50
2012-07-08,61
2012-07-09,80
2012-07-10,98
2012-07-11,101
2012-07-12,121
2012-07-13,145
2012-07-14,168
2012-07-15,172
2012-07-16,195
2012-07-17,193
2012-07-18,180
2012-07-19,203
2012-07-20,237
2012-07-21,239
2012-07-22,245
2012-07-23,230
2012-07-24,272
2012-07-25,249
2012-07-26,238
2012-07-27,242
2012-07-28,268
2012-07-29,268
2012-07-30,266
2012-07-31,247
2012-08-01,245
2012-08-02,263
2012-08-03,300
2012-08-04,326
2012-08-05,275
2012-08-06,268
2012-08-07,257
2012-08-08,274
2012-08-09,269
2012-08-10,316
2012-08-11,294
2012-08-12,293
2012-08-13,257
2012-08-14,288
2012-08-15,251
2012-08-16,299
2012-08-17,330
2012-08-18,326
2012-08-19,274
2012-08-20,263
2012-08-21,266
2012-08-22,278
2012-08-23,304
2012-08-24,328
2012-08-25,291
2012-08-26,294
2012-08-27,281
2012-08-28,293
2012-08-29,267
2012-08-30,268
2012-08-31,329
2012-09-01,307
2012-09-02,285
2012-09-03,273
2012-09-04,305
2012-09-05,263
2012-09-06,280
2012-09-07,321
2012-09-08,323
2012-09-09,328
2012-09-10,288
2012-09-11,289
2012-09-12,264
2012-09-13,270
2012-09-14,325
2012-09-15,288
2012-09-16,259
2012-09-17,285
2012-09-18,286
2012-09-19,270
2012-09-20,271
2012-09-21,328
2012-09-22,304
2012-09-23,280
2012-09-24,268
2012-09-25,249
2012-09-26,258
2012-09-27,292
2012-09-28,296
2012-09-29,273
2012-09-30,284
2012-10-01,242
2012-10-02,266
2012-10-03,301
2012-10-04,266
2012-10-05,284
2012-10-06,274
2012-10-07,261
2012-10-08,238
2012-10-09,268
2012-10-10,269
2012-10-11,304
2012-10-12,302
2012-10-13,279
2012-10-14,254
2012-10-15,277
2012-10-16,253
2012-10-17,320
2012-10-18,293
2012-10-19,253
2012-10-20,300
2012-10-21,291
2012-10-22,286
2012-10-23,296
2012-10-24,257
2012-10-25,278
2012-10-26,283
2012-10-27,263
2012-10-28,278
2012-10-29,264
2012-10-30,271
2012-10-31,257
2012-11-01,281
2012-11-02,268
2012-11-03,273
2012-11-04,292
2012-11-05,283
2012-11-06,304
2012-11-07,277
2012-11-08,292
2012-11-09,296
2012-11-10,277
2012-11-11,273
2012-11-12,289
2012-11-13,253
2012-11-14,270
2012-11-15,299
2012-11-16,278
2012-11-17,295
2012-11-18,281
2012-11-19,279
2012-11-20,297
2012-11-21,261
2012-11-22,300
2012-11-23,287
2012-11-24,294
2012-11-25,284
2012-11-26,316
2012-11-27,292
2012-11-28,279
2012-11-29,276
2012-11-30,300
2012-12-01,293
2012-12-02,292
2012-12-03,267
2012-12-04,268
2012-12-05,280
2012-12-06,262
2012-12-07,286
2012-12-08,267
2012-12-09,261
2012-12-10,294
2012-12-11,284
2012-12-12,255
2012-12-13,268
2012-12-14,297
2012-12-15,283
2012-12-16,311
2012-12-17,273
2012-12-18,283
2012-12-19,262
2012-12-20,284
2012-12-21,279
2012-12-22,304
2012-12-23,280
2012-12-24,276
2012-12-25,280
2012-12-26,271
2012-12-27,303
2012-12-28,294
2012-12-29,290
2012-12-30,294
2012-12-31,254
2013-01-01,277
2013-01-02,286
2013-01-03,270
2013-01-04,272
2013-01-05,274
2013-01-06,286
2013-01-07,278
2013-01-08,275
2013-01-09,296
2013-01-10,278
2013-01-11,287
2013-01-12,271
2013-01-13,288
2013-01-14,259
2013-01-15,315
2013-01-16,261
2013-01-17,283
2013-01-18,301
2013-01-19,297
2013-01-20,305
2013-01-21,276
2013-01-22,280
2013-01-23,278
2013-01-24,289
2013-01-25,300
2013-01-26,292
2013-01-27,269
2013-01-28,271
2013-01-29,294
2013-01-30,254
2013-01-31,282
2013-02-01,260
2013-02-02,291
2013-02-03,290
2013-02-04,298
2013-02-05,321
2013-02-06,288
2013-02-07,260
2013-02-08,304
2013-02-09,282
2013-02-10,278
2013-02-11,317
2013-02-12,301
2013-02-13,272
2013-02-14,263
2013-02-15,273
2013-02-16,261
2013-02-17,260
2013-02-18,309
2013-02-19,281
2013-02-20,278
2013-02-21,269
2013-02-22,274
2013-02-23,306
2013-02-24,246
2013-02-25,284
2013-02-26,294
2013-02-27,280
2013-02-28,269
2013-03-01,275
2013-03-02,298
2013-03-03,276
2013-03-04,296
2013-03-05,299
2013-03-06,275
2013-03-07,278
2013-03-08,289
2013-03-09,257
2013-03-10,283
2013-03-11,261
2013-03-12,298
2013-03-13,265
2013-03-14,272
2013-03-15,285
2013-03-16,273
2013-03-17,277
2013-03-18,264
2013-03-19,280
2013-03-20,300
2013-03-21,256
2013-03-22,275
2013-03-23,282
2013-03-24,300
2013-03-25,309
2013-03-26,257
2013-03-27,272
2013-03-28,259
2013-03-29,253
2013-03-30,280
2013-03-31,291
2013-04-01,296
2013-04-02,240
2013-04-03,274
2013-04-04,282
2013-04-05,260
2013-04-06,283
2013-04-07,274
2013-04-08,314
2013-04-09,289
2013-04-10,266
2013-04-11,281
2013-04-12,256
2013-04-13,252
2013-04-14,278
2013-04-15,279
2013-04-16,309
2013-04-17,246
2013-04-18,310
2013-04-19,285
2013-04-20,287
2013-04-21,275
2013-04-22,287
2013-04-23,272
2013-04-24,252
2013-04-25,274
2013-04-26,296
2013-04-27,283
2013-04-28,283
2013-04-29,294
2013-04-30,290
2013-05-01,269
2013-05-02,279
2013-05-03,300
2013-05-04,290
2013-05-05,289
2013-05-06,303
2013-05-07,277
2013-05-08,267
2013-05-09,268
2013-05-10,269
2013-05-11,268
2013-05-12,292
2013-05-13,244
2013-05-14,292
2013-05-15,283
2013-05-16,290
2013-05-17,280
2013-05-18,303
2013-05-19,279
2013-05-20,276
2013-05-21,283
2013-05-22,280
2013-05-23,285
2013-05-24,266
2013-05-25,263
2013-05-26,257
2013-05-27,272
2013-05-28,275
2013-05-29,291
2013-05-30,292
2013-05-31,284
2013-06-01,286
2013-06-02,277
2013-06-03,282
2013-06-04,272
2013-06-05,306
2013-06-06,295
2013-06-07,286
2013-06-08,306
2013-06-09,269
2013-06-10,300
2013-06-11,262
2013-06-12,262
2013-06-13,274
2013-06-14,288
2013-06-15,278
2013-06-16,286
2013-06-17,287
2013-06-18,322
2013-06-19,275
2013-06-20,276
2013-06-21,279
2013-06-22,236
2013-06-23,257
2013-06-24,260
2013-06-25,270
2013-06-26,272
2013-06-27,279
2013-06-28,290
2013-06-29,265
2013-06-30,255
2013-07-01,269
2013-07-02,258
2013-07-03,269
2013-07-04,238
2013-07-05,267
2013-07-06,243
2013-07-07,239
2013-07-08,252
2013-07-09,220
2013-07-10,203
2013-07-11,190
2013-07-12,171
2013-07-13,179
2013-07-14,135
2013-07-15,118
2013-07-16,107
2013-07-17,81
2013-07-18,72
2013-07-19,70
2013-07-20,68
2013-07-21,43
2013-07-22,60
2013-07-23,47
2013-07-24,45
2013-07-25,35
2013-07-26,43
2013-07-27,29
2013-07-28,25
2013-07-29,20
2013-07-30,16
2013-07-31,23
2013-08-01,20
2013-08-02,17
2013-08-03,18
2013-08-04,15
2013-08-05,19
2013-08-06,14
2013-08-07,10
2013-08-08,9
2013-08-09,11
2013-08-10,12
2013-08-11,16
2013-08-12,12
2013-08-13,4
2013-08-14,3
2013-08-15,4
2013-08-16,4
2013-08-17,7
2013-08-18,4
2013-08-19,3
2013-08-20,1
2013-08-21,1
2013-08-22,2
